N,Date,Province,Country,Last Update,Confirmed,Deaths,Recovered
1,03/02/2020,,Indonesia,2020-03-02T18:03:04,2.0,0.0,0.0
2,03/03/2020,,Indonesia,2020-03-02T18:03:04,2.0,0.0,0.0
3,03/04/2020,,Indonesia,2020-03-02T18:03:04,2.0,0.0,0.0
4,03/05/2020,,Indonesia,2020-03-02T18:03:04,2.0,0.0,0.0
5,03/06/2020,,Indonesia,2020-03-06T12:33:03,4.0,0.0,0.0
6,03/07/2020,,Indonesia,2020-03-06T12:33:03,4.0,0.0,0.0
7,03/08/2020,,Indonesia,2020-03-08T10:03:13,6.0,0.0,0.0
8,03/09/2020,,Indonesia,2020-03-09T11:33:10,19.0,0.0,0.0
9,03/10/2020,,Indonesia,2020-03-10T12:53:02,27.0,0.0,2.0
10,03/11/2020,,Indonesia,2020-03-11T11:14:26,34.0,1.0,2.0
11,03/12/2020,,Indonesia,2020-03-11T11:14:26,34.0,1.0,2.0
12,03/13/2020,,Indonesia,2020-03-11T20:00:00,69.0,4.0,2.0
13,03/14/2020,,Indonesia,2020-03-14T22:53:02,96.0,5.0,8.0
14,03/15/2020,,Indonesia,2020-03-15T18:20:18,117.0,5.0,8.0
15,03/16/2020,,Indonesia,2020-03-16T14:38:45,134.0,5.0,8.0
16,03/17/2020,,Indonesia,2020-03-17T10:33:03,172.0,5.0,8.0
17,03/18/2020,,Indonesia,2020-03-18T10:53:02,227.0,19.0,11.0
18,03/19/2020,,Indonesia,2020-03-19T10:13:16,311.0,25.0,11.0
19,03/20/2020,,Indonesia,2020-03-20T14:43:04,369.0,32.0,15.0
20,03/21/2020,,Indonesia,2020-03-21T11:43:06,450.0,38.0,15.0
21,03/22/2020,,Indonesia,3/8/20 5:31,514.0,48.0,29.0
22,03/23/2020,,Indonesia,2020-03-23 23:23:20,579.0,49.0,30.0
23,03/24/2020,,Indonesia,2020-03-24 23:41:50,686.0,55.0,30.0
24,03/25/2020,,Indonesia,2020-03-25 23:37:49,790.0,58.0,31.0
25,03/26/2020,,Indonesia,2020-03-26 23:53:24,893.0,78.0,35.0
26,03/27/2020,,Indonesia,2020-03-27 23:27:48,1046.0,87.0,46.0
27,03/28/2020,,Indonesia,3/8/20 5:31,1155.0,102.0,59.0
28,03/29/2020,,Indonesia,3/8/20 5:31,1285.0,114.0,64.0
29,03/30/2020,,Indonesia,3/8/20 5:31,1414.0,122.0,75.0
30,03/31/2020,,Indonesia,2020-03-31 23:49:27,1528.0,136.0,81.0
31,04/01/2020,,Indonesia,2020-04-01 22:04:58,1677.0,157.0,103.0
32,04/02/2020,,Indonesia,4/2/20 8:53,1790.0,170.0,112.0
33,04/03/2020,,Indonesia,2020-04-03 22:52:45,1986.0,181.0,134.0
34,04/04/2020,,Indonesia,4/4/20 9:38,2092.0,191.0,150.0
35,04/05/2020,,Indonesia,2020-04-05 23:13:44,2273.0,198.0,164.0
36,04/06/2020,,Indonesia,4/6/20 9:37,2491.0,209.0,192.0
37,04/07/2020,,Indonesia,2020-04-07 23:11:31,2738.0,221.0,204.0
38,04/08/2020,,Indonesia,2020-04-08 22:59:00,2956.0,240.0,222.0
39,04/09/2020,,Indonesia,2020-04-09 23:09:19,3293.0,280.0,252.0
40,04/10/2020,,Indonesia,2020-04-10 23:01:43,3512.0,306.0,282.0
41,04/11/2020,,Indonesia,2020-04-11 22:52:46,3842.0,327.0,286.0
42,04/12/2020,,Indonesia,2020-04-12 23:25:00,4241.0,373.0,359.0
43,04/13/2020,,Indonesia,2020-04-13 23:15:42,4557.0,399.0,380.0
44,04/14/2020,,Indonesia,2020-04-14 23:41:11,4839.0,459.0,426.0
45,04/15/2020,,Indonesia,2020-04-15 23:04:26,5136.0,469.0,446.0
46,04/16/2020,,Indonesia,2020-04-16 23:38:19,5516.0,496.0,548.0
47,04/17/2020,,Indonesia,2020-04-17 23:38:48,5923.0,520.0,607.0
48,04/18/2020,,Indonesia,2020-04-18 22:40:18,6248.0,535.0,631.0
49,04/19/2020,,Indonesia,2020-04-19 23:49:05,6575.0,582.0,686.0
50,04/20/2020,,Indonesia,2020-04-20 23:44:50,6760.0,590.0,747.0
51,04/21/2020,,Indonesia,2020-04-21 23:39:09,7135.0,616.0,842.0
52,04/22/2020,,Indonesia,2020-04-22 23:38:57,7418.0,635.0,913.0
53,04/23/2020,,Indonesia,2020-04-24 03:31:35,7775.0,647.0,960.0
54,04/24/2020,,Indonesia,2020-04-25 06:31:19,8211.0,689.0,1002.0
55,04/25/2020,,Indonesia,2020-04-26 02:31:18,8607.0,720.0,1042.0
56,04/26/2020,,Indonesia,2020-04-27 02:31:20,8882.0,743.0,1107.0
57,04/27/2020,,Indonesia,2020-04-28 02:31:20,9096.0,765.0,1151.0
